Date,Subscribers,Views,Subscriber 2,Views 2,Subscibers 3,Views 3,Subscribers 4,Views 4
"Oct 28, 2013",0,0,,,58,20000,0,17
"Oct 29, 2013",,,,,,,,
"Oct 30, 2013",,,,,,,,
"Oct 31, 2013",,,,,,,,
"Nov 01, 2013",,,,,,,,
"Nov 02, 2013",,,,,,,,
"Nov 03, 2013",,,,,,,,
"Nov 04, 2013",,,,,,,,
"Nov 05, 2013",,,,,,,,
"Nov 06, 2013",,,,,,,,
"Nov 07, 2013",,,,,,,,
"Nov 08, 2013",,,,,,,,
"Nov 09, 2013",,,,,,,,
"Nov 10, 2013",,,,,,,,
"Nov 11, 2013",,,,,,,,
"Nov 12, 2013",,,,,,,,
"Nov 13, 2013",,,,,,,,
"Nov 14, 2013",,,,,,,,
"Nov 15, 2013",,,,,,,,
"Nov 16, 2013",,,,,,,,
"Nov 17, 2013",,,,,,,,
"Nov 18, 2013",,,,,,,,
"Nov 19, 2013",,,,,,,,
"Nov 20, 2013",,,,,,,,
"Nov 21, 2013",,,,,,,,
"Nov 22, 2013",,,,,,,,
"Nov 23, 2013",,,,,,,,
"Nov 24, 2013",,,,,,,,
"Nov 25, 2013",,,,,,,,
"Nov 26, 2013",,,,,,,,
"Nov 27, 2013",,,,,,,,
"Nov 28, 2013",,,,,,,,
"Nov 29, 2013",,,,,,,,
"Nov 30, 2013",,,,,,,,
"Dec 01, 2013",,,,,,,,
"Dec 02, 2013",,,,,,,,
"Dec 03, 2013",,,,,,,,
"Dec 04, 2013",,,,,,,,
"Dec 05, 2013",,,,,,,,
"Dec 06, 2013",,,,,,,,
"Dec 07, 2013",,,,,,,,
"Dec 08, 2013",,,,,,,,
"Dec 09, 2013",,,,,,,,
"Dec 10, 2013",,,,,,,,
"Dec 11, 2013",,,,,,,,
"Dec 12, 2013",,,,,,,,
"Dec 13, 2013",,,,,,,,
"Dec 14, 2013",,,,,,,,
"Dec 15, 2013",,,,,,,,
"Dec 16, 2013",,,,,,,,
"Dec 17, 2013",,,,,,,,
"Dec 18, 2013",,,,,,,,
"Dec 19, 2013",,,,,,,,
"Dec 20, 2013",,,,,,,,
"Dec 21, 2013",,,,,,,,
"Dec 22, 2013",,,,,,,,
"Dec 23, 2013",,,,,,,,
"Dec 24, 2013",,,,,,,,
"Dec 25, 2013",,,,,,,,
"Dec 26, 2013",,,,,,,,
"Dec 27, 2013",,,,,,,,
"Dec 28, 2013",,,,,,,,
"Dec 29, 2013",,,,,,,,
"Dec 30, 2013",,,,,,,,
"Dec 31, 2013",,,,,,,,
"Jan 01, 2014",,,,,,,,
"Jan 02, 2014",,,,,,,,
"Jan 03, 2014",,,,,,,,
"Jan 04, 2014",,,,,,,,
"Jan 05, 2014",,,,,,,,
"Jan 06, 2014",,,,,,,,
"Jan 07, 2014",,,,,,,,
"Jan 08, 2014",,,,,,,,
"Jan 09, 2014",,,,,,,,
"Jan 10, 2014",,,,,,,,
"Jan 11, 2014",,,,,,,,
"Jan 12, 2014",,,,,,,,
"Jan 13, 2014",,,,,,,,
"Jan 14, 2014",,,,,,,,
"Jan 15, 2014",,,,,,,,
"Jan 16, 2014",,,,,,,,
"Jan 17, 2014",,,,,,,,
"Jan 18, 2014",,,,,,,,
"Jan 19, 2014",,,,,,,,
"Jan 20, 2014",,,,,,,,
"Jan 21, 2014",,,,,,,,
"Jan 22, 2014",,,,,,,,
"Jan 23, 2014",,,,,,,,
"Jan 24, 2014",,,,,,,,
"Jan 25, 2014",,,,,,,,
"Jan 26, 2014",,,,,,,,
"Jan 27, 2014",,,,,,,,
"Jan 28, 2014",,,,,,,,
"Jan 29, 2014",,,,,,,,
"Jan 30, 2014",,,,,,,,
"Jan 31, 2014",,,,,,,,
"Feb 01, 2014",,,,,,,,
"Feb 02, 2014",,,,,,,,
"Feb 03, 2014",,,,,,,,
"Feb 04, 2014",,,,,,,,
"Feb 05, 2014",,,,,,,,
"Feb 06, 2014",,,,,,,,
"Feb 07, 2014",,,,,,,,
"Feb 08, 2014",,,,,,,,
"Feb 09, 2014",,,,,,,,
"Feb 10, 2014",,,,,,,,
"Feb 11, 2014",,,,,,,,
"Feb 12, 2014",,,,,,,,
"Feb 13, 2014",,,,,,,,
"Feb 14, 2014",,,,,,,,
"Feb 15, 2014",,,,,,,,
"Feb 16, 2014",,,,,,,,
"Feb 17, 2014",,,,,,,,
"Feb 18, 2014",,,,,,,,
"Feb 19, 2014",,,,,,,,
"Feb 20, 2014",,,,,,,,
"Feb 21, 2014",,,,,,,,
"Feb 22, 2014",,,,,,,,
"Feb 23, 2014",,,,,,,,
"Feb 24, 2014",,,,,,,,
"Feb 25, 2014",,,,,,,,
"Feb 26, 2014",,,,,,,,
"Feb 27, 2014",,,,,,,,
"Feb 28, 2014",,,,,,,,
"Mar 01, 2014",,,,,,,,
"Mar 02, 2014",,,,,,,,
"Mar 03, 2014",,,,,,,,
"Mar 04, 2014",,,,,,,,
"Mar 05, 2014",,,,,,,,
"Mar 06, 2014",,,,,,,,
"Mar 07, 2014",,,,,,,,
"Mar 08, 2014",,,,,,,,
"Mar 09, 2014",,,,,,,,
"Mar 10, 2014",,,,,,,,
"Mar 11, 2014",,,,,,,,
"Mar 12, 2014",,,,,,,,
"Mar 13, 2014",,,,,,,,
"Mar 14, 2014",,,,,,,,
"Mar 15, 2014",,,,,,,,
"Mar 16, 2014",,,,,,,,
"Mar 17, 2014",,,,,,,,
"Mar 18, 2014",,,,,,,,
"Mar 19, 2014",,,,,,,,
"Mar 20, 2014",,,,,,,,
"Mar 21, 2014",,,,,,,,
"Mar 22, 2014",,,,,,,,
"Mar 23, 2014",,,,,,,,
"Mar 24, 2014",,,,,,,,
"Mar 25, 2014",,,,,,,,
"Mar 26, 2014",,,,,,,,
"Mar 27, 2014",,,,,,,,
"Mar 28, 2014",,,,,,,,
"Mar 29, 2014",,,,,,,,
"Mar 30, 2014",,,,,,,,
"Mar 31, 2014",,,,,,,,
"Apr 01, 2014",,,,,,,,
"Apr 02, 2014",,,,,,,,
"Apr 03, 2014",,,,,,,,
"Apr 04, 2014",,,,,,,,
"Apr 05, 2014",,,,,,,,
"Apr 06, 2014",,,,,,,,
"Apr 07, 2014",,,,,,,,
"Apr 08, 2014",,,,,,,,
"Apr 09, 2014",,,,,,,,
"Apr 10, 2014",,,,,,,,
"Apr 11, 2014",,,,,,,,
"Apr 12, 2014",,,,,,,,
"Apr 13, 2014",,,,,,,,
"Apr 14, 2014",,,,,,,,
"Apr 15, 2014",,,,,,,,
"Apr 16, 2014",,,,,,,,
"Apr 17, 2014",,,,,,,,
"Apr 18, 2014",,,,,,,,
"Apr 19, 2014",,,,,,,,
"Apr 20, 2014",,,,,,,,
"Apr 21, 2014",,,,,,,,
"Apr 22, 2014",,,,,,,,
